codigo_empresa;tipo_colaborador;cadastro_colaborador;data_admissao;tipo_admissao;indicativo_admissao;tipo_inscricao;numero_inscricao_anterior;data_inicio_vinculo;matricula_trabalhador;cedido_onus;codigo_categoria_esocial;ressarcimento_onus;recebe_seguro
8;1;277894;04/12/1995;2;1;;;04/12/1995;277894;;1;N;1
8;1;277908;04/12/1995;2;1;;;04/12/1995;277908;;1;N;1
8;1;277916;04/12/1995;2;1;;;04/12/1995;277916;;1;N;1
8;1;277924;04/12/1995;2;1;;;04/12/1995;277924;;1;N;1
8;1;277932;04/12/1995;2;1;;;04/12/1995;277932;;1;N;1
8;1;277941;04/12/1995;2;1;;;04/12/1995;277941;;1;N;1
8;1;277959;04/12/1995;2;1;;;04/12/1995;277959;;1;N;1
8;1;277967;04/12/1995;2;1;;;04/12/1995;277967;;1;N;1
8;1;277975;04/12/1995;2;1;;;04/12/1995;277975;;1;N;1
8;1;277983;04/12/1995;2;1;;;04/12/1995;277983;;1;N;1
8;1;278009;04/12/1995;2;1;;;04/12/1995;278009;;1;N;1
8;1;278017;04/12/1995;2;1;;;04/12/1995;278017;;1;N;1
8;1;278025;04/12/1995;2;1;;;04/12/1995;278025;;1;N;1
8;1;278033;04/12/1995;2;1;;;04/12/1995;278033;;1;N;1
8;1;278050;04/12/1995;2;1;;;04/12/1995;278050;;1;N;1
8;1;278068;04/12/1995;2;1;;;04/12/1995;278068;;1;N;1
8;1;278076;04/12/1995;2;1;;;04/12/1995;278076;;1;N;1
8;1;278084;04/12/1995;2;1;;;04/12/1995;278084;;1;N;1
8;1;278092;04/12/1995;2;1;;;04/12/1995;278092;;1;N;1
8;1;278106;04/12/1995;2;1;;;04/12/1995;278106;;1;N;1
8;1;278114;04/12/1995;2;1;;;04/12/1995;278114;;1;N;1
8;1;278122;04/12/1995;2;1;;;04/12/1995;278122;;1;N;1
8;1;278131;04/12/1995;2;1;;;04/12/1995;278131;;1;N;1
8;1;278149;04/12/1995;2;1;;;04/12/1995;278149;;1;N;1
